Primary_Organization,Participant_Name,Subordinate_Organization,Type,Sub_Type,Participant_ID,Request_for_Information,Information_Delivery,Requests_for_Notification_of_ADT_Events,City,County_Name,Geo_Point
AHMC Health System,AHMC Health System,Greater El Monte Community Hospital Cardiopulmonary Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,South El Monte,Los Angeles,"34.04553, -118.05318"
AHMC Health System,AHMC Health System,Greater El Monte Community Hospital Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,South El Monte,Los Angeles,"34.04553, -118.05318"
AHMC Health System,AHMC Health System,Anaheim Regional Medical Center Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Anaheim,Orange,"33.84444, -117.95222"
AHMC Health System,AHMC Health System,Anaheim Regional Medical Center,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Anaheim,Orange,"33.84444, -117.95222"
AHMC Health System,AHMC Health System,Seton Medical Center Coastside SNF,Subacute Care Facility,Skilled nursing facility,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Moss Beach,San Mateo,"37.52184, -122.50633"
AHMC Health System,AHMC Health System,Greater El Monte Community Hospital SNF,Subacute Care Facility,Skilled nursing facility,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,South El Monte,Los Angeles,"34.04553, -118.05318"
AHMC Health System,AHMC Health System,San Gabriel Valley Medical Center Respiratory Care Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Gabriel,Los Angeles,"34.08988, -118.09492"
AHMC Health System,AHMC Health System,San Gabriel Valley Medical Center Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Gabriel,Los Angeles,"34.08988, -118.09492"
AHMC Health System,AHMC Health System,San Gabriel Valley Medical Center Acute Psychiatric Hospital,Acute Care Settings,Psychiatric hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Gabriel,Los Angeles,"34.08988, -118.09492"
AHMC Health System,AHMC Health System,Seton Medical Center Coastside Laboratory,Ancillary Care,Clinical laboratory,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,DALY CITY,San Mateo,"37.68122, -122.48052"
AHMC Health System,AHMC Health System,Seton Medical Center Coastside,Acute Care Settings,General acute care hospital,DXF002493,NONE SELECTED,NONE SELECTED,NONE SELECTED,Moss Beach,San Mateo,"37.52184, -122.50633"
Platinum Digestive Health,Platinum Digestive Health,none identified,Ambulatory Care Settings,Medical group,DXF002497,NONE SELECTED,NONE SELECTED,NONE SELECTED,Rancho Cucamonga,San Bernardino,"34.09955, -117.57847"
Trinity County Behavioral Health,Trinity County Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002501,NONE SELECTED,NONE SELECTED,NONE SELECTED,weaverville,Trinity,"40.75873, -122.93795"
Pilgrim Place in Claremont,Pilgrim Place in Claremont,Pilgrim Place Health Services Center,Subacute Care Facility,Skilled nursing facility,DXF002503,NONE SELECTED,NONE SELECTED,NONE SELECTED,Claremont,Los Angeles,"34.12853, -117.71561"
"UNICARE COMMUNITY HEALTH CENTER, INC.","UNICARE COMMUNITY HEALTH CENTER, INC.",none identified,Community-Based Organizations,Other community-based service provider,DXF002508,NONE SELECTED,NONE SELECTED,NONE SELECTED,Ontario,San Bernardino,"34.02905, -117.64478"
Sutter-Yuba Behavioral Health,Sutter-Yuba Behavioral Health,none identified,Counties,"Behavioral health plan (SMH plans, Medi-Cal RX and DMC-ODS entities)",DXF002510,NONE SELECTED,NONE SELECTED,NONE SELECTED,Yuba City,Sutter,"39.02249, -121.61286"
Premier Valley Medical Group,Premier Valley Medical Group,none identified,not selected,not selected,DXF002511,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.39347, -119.12045"
Fresno American Indian Health Project,Fresno American Indian Health Project,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002515,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.82234, -119.76022"
Universal Community Health Center,Universal Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002517,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.02931, -118.23873"
Qingping Wang MD,Qingping Wang MD,none identified,Ambulatory Care Settings,Physician practice,DXF002526,NONE SELECTED,NONE SELECTED,NONE SELECTED,SOUTH SAN FRANCISCO,,
Greater El Monte Community Hospital,Greater El Monte Community Hospital,none identified,Acute Care Settings,not selected,DXF002537,NONE SELECTED,NONE SELECTED,NONE SELECTED,South El Monte,Los Angeles,"34.04553, -118.05318"
Indian Health Center of Santa Clara Valley,Indian Health Center of Santa Clara Valley,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002564,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Jose,Santa Clara,"37.29504, -121.89144"
NorthBay Healthcare Group,NorthBay Healthcare Group,none identified,Acute Care Settings,General acute care hospital,DXF002565,CommonWell Health Alliance,CommonWell Health Alliance,SacValley MedShare,Fairfield,Solano,"38.24227, -122.13138"
Redwoods Rural Health Center,Redwoods Rural Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002575,NONE SELECTED,NONE SELECTED,NONE SELECTED,Redway,Humboldt,"40.16453, -123.83859"
El Dorado County Community Health Center,El Dorado County Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002576,NONE SELECTED,NONE SELECTED,NONE SELECTED,Placerville,El Dorado,"38.73526, -120.78985"
Oceanview Dermatology,Oceanview Dermatology,none identified,Ambulatory Care Settings,Physician practice,DXF002579,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Barbara,Santa Barbara,"34.438, -119.68057"
Richmond Post Acute Care,Richmond Post Acute Care,none identified,Subacute Care Facility,Skilled nursing facility,DXF002581,NONE SELECTED,NONE SELECTED,NONE SELECTED,Richmond,Sacramento,"38.68917, -121.21983"
American TrueCare,American TrueCare,none identified,Community-Based Organizations,Other community-based service provider,DXF002588,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.80648, -117.16887"
Kern County Hospital Authority,Kern County Hospital Authority,none identified,Acute Care Settings,General acute care hospital,DXF002589,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.46364, -118.78979"
"Jeffrey A. Klein, MD, Inc.","Jeffrey A. Klein, MD, Inc.",none identified,Ambulatory Care Settings,Physician practice,DXF002591,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Juan Capistrano,Orange,"33.50209, -117.60457"
Mission Neighborhood Health Center,Mission Neighborhood Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002595,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Francisco,San Francisco,"37.74994, -122.41539"
Mission Neighborhood Health Center,Mission Neighborhood Health Center,Mission Neighborhood Resource Center,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002595,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Francisco,San Francisco,"37.74994, -122.41539"
Mission Neighborhood Health Center,Mission Neighborhood Health Center,Mission Neighborhood Health Center- Excelsior Clinic,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002595,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Francisco,San Francisco,"37.74994, -122.41539"
"JEFFREY K FEINFIELD, MD","JEFFREY K FEINFIELD, MD",none identified,Emergency Medical Service Providers,not selected,DXF002598,NONE SELECTED,NONE SELECTED,NONE SELECTED,Thousand Oaks,Ventura,"34.21271, -118.88215"
West Side Health Care District,West Side Health Care District,none identified,Ambulatory Care Settings,Rural health center (RHC),DXF002599,NONE SELECTED,NONE SELECTED,NONE SELECTED,Taft,Kern,"35.16239, -119.42517"
Didi Hirsch Mental Health Services,Didi Hirsch Mental Health Services,none identified,Community-Based Organizations,Other community-based service provider,DXF002603,Los Angeles Network for Enhanced Services (LANES),Los Angeles Network for Enhanced Services (LANES),Los Angeles Network for Enhanced Services (LANES),Culver City,Los Angeles,"33.9972, -118.39458"
Artesia Christian Home,Artesia Christian Home,none identified,Subacute Care Facility,Skilled nursing facility,DXF002604,Orange County Partners in Health HIE,Orange County Partners in Health HIE,Orange County Partners in Health HIE,Artesia,Los Angeles,"33.86763, -118.08062"
Love Focus International Association,Love Focus International Association,none identified,Community-Based Organizations,Other community-based service provider,DXF002612,NONE SELECTED,NONE SELECTED,NONE SELECTED,Merced,Calaveras,"38.32399, -120.46138"
"Sterling Hospitalist Medical Group, Inc.","Sterling Hospitalist Medical Group, Inc.",none identified,Community-Based Organizations,Other community-based service provider,DXF002613,NONE SELECTED,NONE SELECTED,NONE SELECTED,Garden Grove,Orange,"33.78308, -118.02625"
Community Research Foundation dba Healthy Connect San Diego,Community Research Foundation dba Healthy Connect San Diego,none identified,Community-Based Organizations,Other community-based service provider,DXF002614,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.76519, -117.1999"
Volunteers of America Southwest,Volunteers of America Southwest,none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF002616,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.77389, -117.14247"
Carmel Valley Manor,Carmel Valley Manor,none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF002619,NONE SELECTED,NONE SELECTED,NONE SELECTED,Carmel,Monterey,"36.45757, -121.84387"
"St. Paul's Episcopal Home, Inc.","St. Paul's Episcopal Home, Inc.",Community Eldercare of San Diego,Community-Based Organizations,Other community-based service provider,DXF002620,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.74742, -117.16688"
Community Health Centers of the Central Coast,Community Health Centers of the Central Coast,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002624,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Maria,Santa Barbara,"34.95709, -120.49063"
La Maestra Community Health Centers,La Maestra Community Health Centers,none identified,Community-Based Organizations,Other community-based service provider,DXF002625,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Diego,San Diego,"32.73785, -117.09268"
Pediatric Associates of Stockton,Pediatric Associates of Stockton,none identified,Acute Care Settings,Other acute care setting,DXF002633,NONE SELECTED,NONE SELECTED,NONE SELECTED,Stockton,San Joaquin,"38.00246, -121.32502"
Bakersfield American Indian Health Project,Bakersfield American Indian Health Project,none identified,Community-Based Organizations,Other community-based service provider,DXF002635,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.38451, -119.02082"
Cardin HealthCare A Medical Group,Cardin HealthCare A Medical Group,none identified,Community-Based Organizations,Other community-based service provider,DXF002636,NONE SELECTED,NONE SELECTED,NONE SELECTED,Long Beach,Los Angeles,"33.8045, -118.18762"
"BLEHEALTH, LLC","BLEHEALTH, LLC",none identified,Ambulatory Care Settings,Other ambulatory care settings,DXF002640,NONE SELECTED,NONE SELECTED,NONE SELECTED,Pomona,Los Angeles,"34.04179, -117.75691"
RH Community Builders LP,RH Community Builders LP,none identified,Community-Based Organizations,Other community-based service provider,DXF002641,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.7689, -119.76245"
Step Up On Second Inc,Step Up On Second Inc,none identified,Community-Based Organizations,Other community-based service provider,DXF002642,NONE SELECTED,NONE SELECTED,NONE SELECTED,Santa Monica,Los Angeles,"34.01545, -118.49248"
A TU SALUD A MEDICAL CORPORATION,A TU SALUD A MEDICAL CORPORATION,none identified,Ambulatory Care Settings,Physician practice,DXF002645,NONE SELECTED,NONE SELECTED,NONE SELECTED,MONTCLAIR,San Bernardino,"34.07234, -117.6983"
South Central Family Health Center,South Central Family Health Center,none identified,Community-Based Organizations,Other community-based service provider,DXF002647,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.00714, -118.25874"
Here to Help Foundation,Here to Help Foundation,none identified,Community-Based Organizations,Other community-based service provider,DXF002650,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"33.98886, -118.33517"
St. John's Community Health,St. John's Community Health,none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF002651,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.00268, -118.28748"
Children's Institute,Children's Institute,none identified,Community-Based Organizations,Other community-based service provider,DXF002652,NONE SELECTED,NONE SELECTED,NONE SELECTED,Los Angeles,Los Angeles,"34.07928, -118.263"
Phoenix House of California,Phoenix House of California,none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF002653,NONE SELECTED,NONE SELECTED,NONE SELECTED,Lake View Terrace,Los Angeles,"34.31515, -118.38506"
"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Central Valley Medical Services Corporation,Ancillary Care,Clinical laboratory,DXF002655,NONE SELECTED,NONE SELECTED,NONE SELECTED,Anaheim,Orange,"33.84444, -117.95222"
"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Central Valley Medical Services Corporation,Ancillary Care,Clinical laboratory,DXF002655,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.73291, -119.78374"
"Innovative Integrated Health, Inc.","Innovative Integrated Health, Inc.",Central Valley Medical Services Corporation,Ancillary Care,Clinical laboratory,DXF002655,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.38979, -118.98518"
The Fresno Center,The Fresno Center,none identified,Community-Based Organizations,Other community-based service provider,DXF002656,NONE SELECTED,NONE SELECTED,NONE SELECTED,Fresno,Fresno,"36.75155, -119.6806"
Pacific Pulmonary Medical Group,pacific pulmonary medical group,none identified,Ambulatory Care Settings,Medical group,DXF002659,NONE SELECTED,NONE SELECTED,NONE SELECTED,Riverside,Riverside,"33.93325, -117.49435"
Merakey,Merakey,none identified,Community-Based Organizations,Other community-based service provider,DXF002660,NONE SELECTED,NONE SELECTED,NONE SELECTED,Harrisburg,Dauphin,"40.37311, -76.77649"
Helpline Youth Counseling Inc OP,Helpline Youth Counseling Inc OP,none identified,Community-Based Organizations,Other community-based service provider,DXF002666,NONE SELECTED,NONE SELECTED,NONE SELECTED,Whittier,Los Angeles,"33.93012, -118.01225"
On Lok Senior Health Services,On Lok Senior Health Services,none identified,Plans,Other plan,DXF002667,NONE SELECTED,NONE SELECTED,NONE SELECTED,San Francisco,San Francisco,"37.7952, -122.4222"
Community Medical Wellness Centers USA,Community Medical Wellness Centers USA,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),DXF002669,NONE SELECTED,NONE SELECTED,NONE SELECTED,Long Beach,Los Angeles,"33.78237, -118.19686"
Vision Service Plan,Vision Service Plan,none identified,Plans,Health care service plans and disability insurer,DXF002671,NONE SELECTED,NONE SELECTED,NONE SELECTED,Rancho Cordova,Sacramento,"38.56964, -121.43974"
"Universal Healthcare MSO, LLC dba Sunrise Wellness Care","Universal Healthcare MSO, LLC dba Sunrise Wellness Care",none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF002672,NONE SELECTED,NONE SELECTED,NONE SELECTED,Bakersfield,Kern,"35.3436, -119.06633"
Medhat Mikhael MD Inc DBA Pain Medicine Associates,Medhat Mikhael MD Inc DBA Pain Medicine Associates,none identified,Ambulatory Care Settings,Physician practice,DXF002674,NONE SELECTED,NONE SELECTED,NONE SELECTED,Huntington Beach,Orange,"33.72342, -118.00667"
Channing House,Channing House,none identified,Community-Based Organizations,Continuum of Care organization (CoC),DXF002675,NONE SELECTED,NONE SELECTED,NONE SELECTED,Palo Alto,Santa Clara,"37.44412, -122.14995"
Child and Family Guidance Center,Child and Family Guidance Center,none identified,Community-Based Organizations,Other community-based service provider,DXF002682,NONE SELECTED,NONE SELECTED,NONE SELECTED,Northridge,Los Angeles,"34.23602, -118.51759"
Access TLC Home Health Care,Access TLC Home Health Care,none identified,Ancillary Care,Other ancillary care provider,DXF002686,NONE SELECTED,NONE SELECTED,NONE SELECTED,Moorpark,Ventura,"34.30349, -118.8842"
"Landmark Healthplan of California, Inc.","Landmark Healthplan of California, Inc.",none identified,Plans,Health care service plans and disability insurer,DXF002687,NONE SELECTED,NONE SELECTED,NONE SELECTED,Westlake Village,Ventura,"34.13649, -118.889"
