Primary_Organization,Subordinate_Organization,Type,Sub_Type,City,County,ZIP
Generations Healthcare,Lawton Skilled Nursing & Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,San Francisco,#N/A,94122
Generations Healthcare,Bradley Court,Subacute Care Facility,Skilled nursing facility,El Cajon,#N/A,92021
Generations Healthcare,Temecula Healthcare Center,Subacute Care Facility,Skilled nursing facility,Temecula,#N/A,92592
Generations Healthcare,Temecula Memory Care,Subacute Care Facility,Other long term care facility,Temecula,#N/A,92592
Generations Healthcare,Anberry Nursing and Rehabilitation Center,Subacute Care Facility,Skilled nursing facility,Atwater,#N/A,95301
Generations Healthcare,Horizon Health & Subacute Center,Subacute Care Facility,Skilled nursing facility,Fresno,#N/A,93720
Genesee Medical Group,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92142-1199
Genesee Medical Group,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92142-1199
Genesee Medical Group,none identified,Ambulatory Care Settings,Physician practice,San Diego,#N/A,92142-1199
"GenesisCare USA of California, A Medical Corporation",none identified,Ambulatory Care Settings,Physician practice,Fort Myers,#N/A,33907
George Cyrus Allen Jr PHD mD,none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90024
George Keith Llewellyn MD Inc,none identified,Ambulatory Care Settings,not selected,Santa Barbara,#N/A,93101
"GEORGE M. JAYATILAKA, M.D. INC.",none identified,Ambulatory Care Settings,Physician practice,Long Beach,#N/A,90813-3410
GEORGE N CHIDI MD PA,none identified,Counties,Department of public health,Corona,#N/A,92879
George Yu,none identified,Ambulatory Care Settings,not selected,Camarillo,#N/A,93010
Get Aging,none identified,Ambulatory Care Settings,Physician practice,Covina,#N/A,91723
Ghods Inc,none identified,Ambulatory Care Settings,Physician practice,Los Angeles,#N/A,90019
Gil Family Medicine,none identified,Ambulatory Care Settings,Medical group,National City,#N/A,91950
Gill & Bisla Internal Med Associates,none identified,Ambulatory Care Settings,Physician practice,Roseville,#N/A,95661
"Gilroy Endoscopy Center, LLC",none identified,Ambulatory Care Settings,Other ambulatory care settings,GILROY,#N/A,95020
Gladstone Subacute Care and Rehabilitation Center,none identified,Subacute Care Facility,Skilled nursing facility,Glendora,#N/A,91740
Glenbrook Health Center,none identified,Subacute Care Facility,Skilled nursing facility,Carlsbad,#N/A,92009
Glendale Pediatrics,none identified,Ambulatory Care Settings,Physician practice,Glendale,#N/A,91206
Glenn County Behavioral Health,none identified,Counties,Behavioral health provider,Willows,#N/A,95988
Glenn County Health and Human Services Agency,none identified,Counties,Behavioral health provider,Willows,#N/A,95988
Global Cancer Research Institute Inc,none identified,Ambulatory Care Settings,Physician practice,Saratoga,#N/A,95070
Global Care Medical Group IPA,none identified,Intermediaries,Other intermediary,Inglewood,#N/A,90303
Global Transitional Care,none identified,Ancillary Care,Other ancillary care provider,Irvine,#N/A,92617
Gloria Wu MD a Professional Medical Corporation,none identified,Acute Care Settings,Other acute care setting,San Jose,#N/A,95124
Gold Coast Health Plan,none identified,not selected,not selected,Camarillo,#N/A,93010
GOLDEN CARE PEDIATRICS,none identified,Ambulatory Care Settings,Physician practice,Orange,#N/A,92867
"Golden Gate Urology, Inc.",none identified,Ambulatory Care Settings,Medical group,San Francisco,#N/A,94103
Golden State,SANTA ANITA CONVALESCENT HOSPITAL,Subacute Care Facility,Skilled nursing facility,Sherman Oaks,#N/A,91423
Golden State,1100 SOUTH ALVARADO STREET LLC,Subacute Care Facility,Skilled nursing facility,Sherman Oaks,#N/A,91423
Golden State,"RG LEGACY I, LLC",Subacute Care Facility,Skilled nursing facility,Sherman Oaks,#N/A,91423
Golden State,TWO PALMS SKILLED CARE LLC,Subacute Care Facility,Skilled nursing facility,Sherman Oaks,#N/A,91423
Golden State,SYLMAR HEALTH & REHABILITATION CENTER IN,Subacute Care Facility,Other long term care facility,Sherman Oaks,#N/A,91423
Golden State,SAN FERNANDO SUBACUTE RE HABILITATION CENTER,Subacute Care Facility,Other long term care facility,Sherman Oaks,#N/A,91423
Golden State,GOLDEN HAVEN CARE CENTER LLC,Subacute Care Facility,Other long term care facility,Sherman Oaks,#N/A,91423
Golden State Adult Day Health Care Inc,none identified,Community-Based Organizations,not selected,San Francisco,#N/A,94121
Golden State Ortho and Spine,none identified,Ambulatory Care Settings,Physician practice,Walnut Creek,#N/A,94598
Golden State Pediatrics,Victorville Pediatrics Inc,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden State Pediatrics,Victor Valley Family Clinic,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden State Pediatrics,Fontana Pediatrics,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden State Pediatrics,Fontana Family Clinic,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden State Pediatrics,Golden State Pediatrics Upland,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden State Pediatrics,Redlands Pediatrics,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden State Pediatrics,Apple Valley Pediatrics,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden State Pediatrics,Hemet Family Clinic,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden State Pediatrics,Hemet Pediatrics,Ambulatory Care Settings,Other ambulatory care settings,FONTANA,#N/A,92336-1263
Golden Valley Health Centers,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),Merced,#N/A,95341
Good Samaritan Hospital LP,Good Samaritan Health Care Center,Ambulatory Care Settings,Rural health center (RHC),Wasco,#N/A,93280
"Good Samaritan Medical Practice Association, Inc. a Medical Group",none identified,Ambulatory Care Settings,Medical group,Orange,#N/A,92868
"Gopi Ayer, M.D.",none identified,Ambulatory Care Settings,Physician practice,Los Gatos,#N/A,95032
Goradia Medical Corporation,none identified,Ambulatory Care Settings,Physician practice,San Francisco,#N/A,94104
Gospel Center Rescue Mission,none identified,Community-Based Organizations,Other community-based service provider,Stockton,#N/A,95203
GR8 Care Inc dba Coast Care Convalescent Center,none identified,Subacute Care Facility,Skilled nursing facility,Baldwin Park,#N/A,91706
Grace Home Inc,none identified,Subacute Care Facility,Other long term care facility,Livingston,#N/A,95334
Grace S Hwang MD Inc,none identified,Ambulatory Care Settings,Physician practice,Orange,#N/A,92868
"GRAIL, LLC",none identified,Ancillary Care,Clinical laboratory,Menlo PArk,#N/A,94025
Grant Cuesta Sub Acute & Rehab Center,none identified,Subacute Care Facility,Skilled nursing facility,Mountain View,#N/A,94040
"Grass Valley Eye Care Optometric, Inc.",none identified,Community-Based Organizations,Other community-based service provider,Grass Valley,#N/A,95945
"Great Wireless, llc dba US Connect",none identified,Community-Based Organizations,Other community-based service provider,Fort Worth,#N/A,76177
Greater El Monte Community Hospital,none identified,Acute Care Settings,not selected,South El Monte,#N/A,91733
Greater Fresno Health Organizaiton,none identified,Community-Based Organizations,Other community-based service provider,Fresno,#N/A,93727
Green Tree Home Care,none identified,Community-Based Organizations,Other community-based service provider,Santee,#N/A,92071
Greenfield Care Center of Fairfield,none identified,Subacute Care Facility,Skilled nursing facility,Fairfield,#N/A,94533
Greenfield Care Center of Fillmore,none identified,Subacute Care Facility,Skilled nursing facility,Fillmore,#N/A,93015
Greenfield Care Center of Fullerton,none identified,Subacute Care Facility,Skilled nursing facility,Fullerton,#N/A,92835-3403
Greenfield Care of Southgate,none identified,Subacute Care Facility,Skilled nursing facility,South Gate,#N/A,90280
Greenhills Manor,none identified,Subacute Care Facility,Skilled nursing facility,Campbell,#N/A,95008
Gregg K Satow MD,none identified,Ambulatory Care Settings,Physician practice,Monterey,#N/A,93940
Gregory B Smith MD,none identified,Ambulatory Care Settings,Physician practice,Napa,#N/A,94559
Gridley Post Acute,none identified,Subacute Care Facility,Skilled nursing facility,Gridley,#N/A,95948
"Growing Healthy Together, Inc",none identified,Ambulatory Care Settings,Medical group,Long Beach,#N/A,90804
GUARDIAN ANGEL FAMILY COUNSELING PC,none identified,Ambulatory Care Settings,Mental health clinic,MISSION VIEJO,#N/A,92692
Guardian Rehabilitation Hospital,none identified,Subacute Care Facility,Skilled nursing facility,Los Angeles,#N/A,90036
Guidant Health Plan,none identified,Plans,Health care service plans and disability insurer,Murrieta,#N/A,92563
Gunn Behavioral Care of CA,none identified,Ancillary Care,Other ancillary care provider,Rancho Cucamonga,#N/A,91730
"Gynecologic Oncology Specialists,P.C.",none identified,Ambulatory Care Settings,Physician practice,ventura,#N/A,93003
"Habitat for Humanity Yuba/Sutter, Inc.",Hands of Hope,Community-Based Organizations,Continuum of Care organization (CoC),Marysville,#N/A,95901
"Hacienda C.H., Inc.",none identified,Subacute Care Facility,Skilled nursing facility,Long Beach,#N/A,90803
Haider Spine Center Medical Group,none identified,Ambulatory Care Settings,not selected,Riverside,#N/A,92507
"Hakima Schulz, MD",none identified,Ambulatory Care Settings,Independent practice associations,SCOTTS VALLEY,#N/A,95067
"Hamsa Ramkumar, M.D., Inc.",none identified,Ambulatory Care Settings,Physician practice,La habra,#N/A,90631
"Hanaa Hanna, MD., Inc.",none identified,Ambulatory Care Settings,Physician practice,San Pedro,#N/A,90731
hanlon fong md,none identified,Ambulatory Care Settings,Physician practice,San Francisco,#N/A,94109
Haramandeep Singh MD INc,none identified,Ambulatory Care Settings,Physician practice,San Ramon,#N/A,94583
Harbor Care Foundation,none identified,Community-Based Organizations,Other community-based service provider,Mission Hills,#N/A,91345
Harbor Community Health Center,none identified,Ambulatory Care Settings,Federally Qualified Health Center (FQHC),San Pedro,#N/A,90731
Harbor Post Acute Care Center,none identified,Acute Care Settings,Other acute care setting,Torrance,#N/A,90502
harbor psychiatry & Mental Health,none identified,Ancillary Care,Other ancillary care provider,Newport Beach,#N/A,92660
Harmeet Sachdev MD.Inc.,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95124
Hassan Kafri MD INC,none identified,Ambulatory Care Settings,Physician practice,La Jolla,#N/A,92037
Haven Pediatrics & Adolescent Care,none identified,not selected,not selected,Rancho Cucamonga,#N/A,91730
"Hayne Kelada, MD",none identified,Ambulatory Care Settings,Physician practice,Cameron Park,#N/A,95682
Hayward Sisters Hospital dba St. Rose Hospital,none identified,Acute Care Settings,General acute care hospital,Hayward,#N/A,94545
Hazel Hazel Hawkins Memorial Hospital,none identified,Acute Care Settings,General acute care hospital,Hollister,#N/A,95023
Healing Grove Health Center,none identified,Ambulatory Care Settings,Physician practice,San Jose,#N/A,95110
Health 4 Kidz Pediatrics,none identified,Ambulatory Care Settings,Physician practice,Irvine,#N/A,92618
health access for all inc,none identified,Community-Based Organizations,Other community-based service provider,"Los Angeles, CA",#N/A,90057
Health Gorilla,none identified,Intermediaries,Qualified Health Information Exchange Intermediary Organization (QHIO),Mountain View,#N/A,94040
Health Net,California Health & Wellness,Plans,not selected,Saint Louis,#N/A,63105
Health Net,Wellcare of California Inc,Plans,not selected,Saint Louis,#N/A,63105
Health Plan of San Joaquin,none identified,Plans,not selected,French Camp,#N/A,95231
Health Plan of San Mateo,none identified,Plans,not selected,SOUTH SAN FRANCISCO,#N/A,94080
Health Projects Center,none identified,Community-Based Organizations,Other community-based service provider,Santa Cruz,#N/A,95062
Health Service Alliance,none identified,Ambulatory Care Settings,Health center program look-alikes,Chino,#N/A,91710
Healthbridge Children's Hospital,none identified,Acute Care Settings,General acute care hospital,Orange,#N/A,92866
Healthcare in Action Medical Group,none identified,Community-Based Organizations,Other community-based service provider,Long Beach,#N/A,90806
Healthcare LA IPA,none identified,Ambulatory Care Settings,Independent practice associations,Westlake Village,#N/A,91362
Healthcare Management Systems Inc,none identified,Subacute Care Facility,Skilled nursing facility,San Jacinto,#N/A,92582
HealthCare Partners Affiliates Medical Group,none identified,Ambulatory Care Settings,Medical group,El Segundo,#N/A,90245
"HealthCare Partners Associates Medical Group, P.C",none identified,Ambulatory Care Settings,Medical group,El Segundo,#N/A,90245
"HealthCare Partners Medical Group, P.C.",none identified,Ambulatory Care Settings,Medical group,El Segundo,#N/A,90245
Healthy Community Forum for the Greater Sacramento Region dba Sacramento Covered,none identified,Community-Based Organizations,Other community-based service provider,Sacramento,#N/A,95811
Healthy Hearts Medical Association dba. Health Care Integrated Services,none identified,Ambulatory Care Settings,Community clinic or free clinic,Chula Vista,#N/A,91921
Hebrew Home for Aged Disabled,none identified,Acute Care Settings,General acute care hospital,San Francisco,#N/A,94112
Hedyeh M Golshan MD & Associates Inc,none identified,Ambulatory Care Settings,Physician practice,RIALTO,#N/A,92376
"Heeten V. Bhoot, DO, APC",none identified,Acute Care Settings,General acute care hospital,Irvine,#N/A,92612
Height Street Skilled Care,none identified,Subacute Care Facility,Skilled nursing facility,Bakersfield,#N/A,93305
"Helios Healthcare, LLC",none identified,Subacute Care Facility,Skilled nursing facility,Sacramento,#N/A,95814
